# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
  7.57376674161978E+000     9.03034546480157E+010     8.98848665450967E+010     1.62269346458981E-003     7.18686834674971E+006     8.72654542205842E+010     5.61695932375150E+000     9.12145146092644E+005     9.96226932957418E-005     1.54947690659168E+003     0.00000000000000E+000
  7.64913010351754E+000     8.47413058092793E+010     8.43482437959792E+010     1.46778786639805E-003     6.32509193208817E+006     8.18933845049843E+010     5.18003630865043E+000     8.02822151862524E+005     8.72058904434051E-005     1.54732950253457E+003     0.00000000000000E+000
  7.72449346541530E+000     7.95227886814636E+010     7.91545485838604E+010     1.32904886550755E-003     5.56698631650955E+006     7.68528352076522E+010     4.78401118090735E+000     7.06641540911343E+005     7.63407844211385E-005     1.54519041633630E+003     0.00000000000000E+000
  7.79985682731306E+000     7.46265168150780E+010     7.42787673896881E+010     1.20467772863099E-003     4.90002287664843E+006     7.21232520390900E+010     4.42471796109544E+000     6.22016626365215E+005     6.68327478828926E-005     1.54305978870912E+003     0.00000000000000E+000
  7.87561828565807E+000     7.00210174490520E+010     6.96940377011272E+010     1.09252608641071E-003     4.31029079759201E+006     6.76626572620216E+010     4.09679267794102E+000     5.47184670221965E+005     5.84705978192422E-005     1.54092656088900E+003     0.00000000000000E+000
  7.95137974400307E+000     6.56892989150468E+010     6.53813299572589E+010     9.91859694749873E-004     3.79172639677389E+006     6.34784940706424E+010     3.79885945615287E+000     4.81378131693845E+005     5.11570207483223E-005     1.53880212725915E+003     0.00000000000000E+000
  8.02714120234808E+000     6.16261087216570E+010     6.13366390528318E+010     9.01416140845920E-004     3.33570889116964E+006     5.95535694704040E+010     3.52791504898318E+000     4.23504628802415E+005     4.47601322343534E-005     1.53668659322939E+003     0.00000000000000E+000
  8.10290266069308E+000     5.78147282388763E+010     5.75404692847444E+010     8.20078455578398E-004     2.93466711977596E+006     5.58717659461387E+010     3.28127581282113E+000     3.72604626065605E+005     3.91647031511004E-005     1.53458005346609E+003     0.00000000000000E+000
  8.19638821270691E+000     5.38408008034481E+010     5.35834594797796E+010     7.30803651304517E-004     2.50576687275256E+006     5.16413470027016E+010     3.00689575893959E+000     3.18164945156750E+005     3.32164176001421E-005     1.53199321866338E+003     0.00000000000000E+000
  8.28987376472075E+000     4.97632262105810E+010     4.95274641857179E+010     6.52271694448075E-004     2.13967895027043E+006     4.77317475173955E+010     2.76190587741234E+000     2.71694509431576E+005     2.81730554325853E-005     1.52942034682362E+003     0.00000000000000E+000
  8.38335931673458E+000     4.59950593435494E+010     4.57754340875824E+010     5.83083072116857E-004     1.82717717289939E+006     4.41185590083581E+010     2.54283083287347E+000     2.32023478879563E+005     2.38966200881686E-005     1.52686155816884E+003     0.00000000000000E+000
  8.47684486874841E+000     4.25127517351049E+010     4.23083421914374E+010     5.22030999513955E-004     1.56039637238529E+006     4.07792423865750E+010     2.34664093950066E+000     1.98154432312818E+005     2.02702310102911E-005     1.52431695490283E+003     0.00000000000000E+000
  8.57033042076225E+000     3.92944700187968E+010     3.91032401808233E+010     4.68073981932824E-004     1.33263068121849E+006     3.76929868693865E+010     2.17069299158442E+000     1.69236845687619E+005     1.71948805689948E-005     1.52178662272782E+003     0.00000000000000E+000
  8.66817534045609E+000     3.62544456297855E+010     3.60779134003874E+010     4.18222737085873E-004     1.12982126114109E+006     3.47129653746910E+010     2.00570970587267E+000     1.43486339071088E+005     1.44752310769111E-005     1.51915365898989E+003     0.00000000000000E+000
  8.76602026014993E+000     3.33877463460215E+010     3.32234452819111E+010     3.74269343741173E-004     9.57919594553357E+005     3.19687935409322E+010     1.85805489905106E+000     1.21659023415450E+005     1.21862195118254E-005     1.51653647061187E+003     0.00000000000000E+000
  8.86386517984377E+000     3.07480318790947E+010     3.05987374722952E+010     3.35448621868440E-004     8.12206043920582E+005     2.94417668965837E+010     1.72571009560937E+000     1.03156072881548E+005     1.02595489453339E-005     1.51393510759368E+003     0.00000000000000E+000
  8.96171009953761E+000     2.83172227023998E+010     2.81773585831420E+010     3.01101744423843E-004     6.88683717789461E+005     2.71146703903977E+010     1.60691486350458E+000     8.74703090509619E+004     8.63777845066840E-006     1.51134960626870E+003     0.00000000000000E+000
  9.05955501923145E+000     2.60787856760235E+010     2.59499850071213E+010     2.70660769074741E-004     5.83967380183093E+005     2.49716596488934E+010     1.50013156226831E+000     7.41721260211248E+004     7.27259246425488E-006     1.50877999051906E+003     0.00000000000000E+000
  9.16696925085799E+000     2.39224717110721E+010     2.38040333712646E+010     2.41159043965100E-004     4.87267395696290E+005     2.28137124418992E+010     1.39513786786836E+000     6.18914795093952E+004     6.02120147826097E-006     1.50597737101847E+003     0.00000000000000E+000
  9.27438348248453E+000     2.18551649498438E+010     2.17457359910200E+010     2.15217942678725E-004     4.06594017537555E+005     2.08423603871198E+010     1.30144820229787E+000     5.16457854534568E+004     4.98528633541402E-006     1.50319391369832E+003     0.00000000000000E+000
  9.38179771411106E+000     1.99665723855694E+010     1.98674500552063E+010     1.92362284594356E-004     3.39287984968801E+005     1.90414553221718E+010     1.21772011002761E+000     4.30974798965760E+004     4.12771057201024E-006     1.50042960733142E+003     0.00000000000000E+000
  9.48921194573760E+000     1.82412148429059E+010     1.81488366435754E+010     1.72185753088164E-004     2.83131970712138E+005     1.73962482752194E+010     1.14278627842022E+000     3.59650757906454E+004     3.41774577185309E-006     1.49768442854784E+003     0.00000000000000E+000
