# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
  1.14000866181572E+014     2.46129366830312E+003     2.44213735809518E+003     1.64305418401331E+003     8.72888454296046E-012     5.12362133745829E+002     1.44314055782182E+002     2.60883248999023E-017     8.75808176642935E-021     1.19477916683048E+000     0.00000000000000E+000
  1.35903837283395E+014     2.40428409522957E+003     2.38553908219751E+003     1.60522078015167E+003     8.49967746235057E-012     5.00558314818423E+002     1.40991740265319E+002     2.44577131536297E-017     8.52812296459791E-021     1.17528840258815E+000     0.00000000000000E+000
  1.57806808385218E+014     2.34922487335576E+003     2.33087823562953E+003     1.56867686566497E+003     8.28149942136858E-012     4.89157771408992E+002     1.37782652413186E+002     2.29764177019418E-017     8.30921576199771E-021     1.15637009950325E+000     0.00000000000000E+000
  2.00047074492609E+014     2.27214781703622E+003     2.25434745307831E+003     1.50163237316914E+003     7.88846772243194E-012     4.68244160685221E+002     1.31895148301773E+002     2.04759058641141E-017     7.91484112425310E-021     1.12141681622369E+000     0.00000000000000E+000
  2.42287340600000E+014     2.17604330373910E+003     2.15894477095984E+003     1.43879081261150E+003     7.52743508477831E-012     4.48643752147109E+002     1.26376697676471E+002     1.83605050039269E-017     7.55254664681508E-021     1.08835060417411E+000     0.00000000000000E+000
  2.84527606707391E+014     2.08591215396133E+003     2.06947483438109E+003     1.37980916541837E+003     7.19408559190714E-012     4.30248844989942E+002     1.21197181674410E+002     1.65531155996997E-017     7.21801259631024E-021     1.05703021202914E+000     0.00000000000000E+000
  3.26767872814782E+014     2.00126323162756E+003     1.98544956262576E+003     1.32437857407268E+003     6.88499455189085E-012     4.12962608675891E+002     1.16329480883397E+002     1.49955546917702E-017     6.90780982336487E-021     1.02732762222083E+000     0.00000000000000E+000
  3.69008138922174E+014     1.92166037641144E+003     1.90643553984508E+003     1.27222027201495E+003     6.59738273735384E-012     3.96697743752447E+002     1.11749117980270E+002     1.36431087203816E-017     6.61915444282985E-021     9.99126544768320E-001     0.00000000000000E+000
  4.00859004334424E+014     1.85561716681766E+003     1.84088720313755E+003     1.23490073493524E+003     6.39330574478799E-012     3.85060612228125E+002     1.08471830644522E+002     1.27374690064254E-017     6.41433282939720E-021     9.78790092716649E-001     0.00000000000000E+000
  4.32709869746675E+014     1.80158440498814E+003     1.78725649995594E+003     1.19919877042304E+003     6.19928316817418E-012     3.73928199850729E+002     1.05336582255773E+002     1.19163145720829E-017     6.21959984418891E-021     9.59205139104703E-001     0.00000000000000E+000
