50
7.27156e-03 2.83399e-03
1.68995e-02 1.49201e-02
2.64764e-02 3.66148e-02
3.59521e-02 6.78390e-02
4.52889e-02 1.08473e-01
5.44506e-02 1.58358e-01
6.34017e-02 2.17304e-01
7.21075e-02 2.85080e-01
8.05343e-02 3.61426e-01
8.86496e-02 4.46045e-01
9.64219e-02 5.38610e-01
1.03821e-01 6.38764e-01
3.61426e-01 1.58358e-01 6.77051e-03
3.61426e-01 2.17304e-01 1.19256e-02
3.61426e-01 2.85080e-01 1.85591e-02
3.61426e-01 3.61426e-01 2.58924e-02
3.61426e-01 4.46045e-01 3.26944e-02
3.61426e-01 5.38610e-01 3.76842e-02
3.61426e-01 6.38764e-01 4.00307e-02
3.61426e-01 7.46119e-01 3.96262e-02
3.61426e-01 8.60259e-01 3.69802e-02
3.61426e-01 9.80743e-01 3.28866e-02
3.61426e-01 1.10710e+00 2.81170e-02
3.61426e-01 1.23885e+00 2.32652e-02
3.61426e-01 1.37548e+00 1.87206e-02
3.61426e-01 1.51646e+00 1.47001e-02
3.61426e-01 1.66125e+00 1.12902e-02
3.61426e-01 1.80928e+00 8.47857e-03
3.61426e-01 1.95998e+00 6.18044e-03
3.61426e-01 2.11277e+00 4.27147e-03
3.61426e-01 2.26706e+00 2.64075e-03
3.61426e-01 2.42225e+00 1.25848e-03
3.61426e-01 2.57775e+00 2.12520e-04
3.61426e-01 2.73294e+00 -3.59705e-04
3.61426e-01 2.88723e+00 -4.41743e-04
3.61426e-01 3.04002e+00 -2.31269e-04
3.61426e-01 3.19072e+00 5.01461e-06
3.61426e-01 3.33875e+00 1.33427e-04
3.61426e-01 3.48354e+00 1.60972e-04
3.61426e-01 3.62452e+00 1.36138e-04
3.61426e-01 3.76115e+00 9.62453e-05
3.61426e-01 3.89290e+00 6.03674e-05
3.61426e-01 4.01926e+00 3.46423e-05
3.61426e-01 4.13974e+00 1.85756e-05
3.61426e-01 4.25388e+00 9.47059e-06
3.61426e-01 4.36124e+00 4.66559e-06
3.61426e-01 4.46139e+00 2.25612e-06
3.61426e-01 4.55396e+00 1.08782e-06
3.61426e-01 4.63857e+00 5.31234e-07
3.61426e-01 4.71492e+00 2.66852e-07
3.61426e-01 4.78270e+00 1.39969e-07
3.61426e-01 4.84164e+00 7.77612e-08
3.61426e-01 4.89153e+00 4.63636e-08
3.61426e-01 4.93216e+00 3.00163e-08
3.61426e-01 4.96339e+00 2.13120e-08
3.61426e-01 4.98508e+00 1.67263e-08
3.61426e-01 4.99717e+00 1.45918e-08
4.46045e-01 2.83399e-03 2.77198e-06
4.46045e-01 1.49201e-02 7.67897e-05
4.46045e-01 3.66148e-02 4.61165e-04
