50
7.27156e-03 2.83399e-03
1.68995e-02 1.49201e-02
2.64764e-02 3.66148e-02
3.59521e-02 6.78390e-02
4.52889e-02 1.08473e-01
5.44506e-02 1.58358e-01
6.34017e-02 2.17304e-01
7.21075e-02 2.85080e-01
8.05343e-02 3.61426e-01
8.86496e-02 4.46045e-01
9.64219e-02 5.38610e-01
1.03821e-01 6.38764e-01
3.61426e-01 1.49201e-02 -1.21287e+00
3.61426e-01 3.66148e-02 -1.21187e+00
3.61426e-01 6.78390e-02 -1.20897e+00
3.61426e-01 1.08473e-01 -1.20262e+00
3.61426e-01 1.58358e-01 -1.19093e+00
3.61426e-01 2.17304e-01 -1.17183e+00
3.61426e-01 2.85080e-01 -1.14328e+00
3.61426e-01 3.61426e-01 -1.10363e+00
3.61426e-01 4.46045e-01 -1.05200e+00
3.61426e-01 5.38610e-01 -9.88511e-01
3.61426e-01 6.38764e-01 -9.14103e-01
3.61426e-01 7.46119e-01 -8.30026e-01
3.61426e-01 8.60259e-01 -7.37073e-01
3.61426e-01 9.80743e-01 -6.35049e-01
3.61426e-01 1.10710e+00 -5.22690e-01
3.61426e-01 1.23885e+00 -3.98013e-01
3.61426e-01 1.37548e+00 -2.58990e-01
3.61426e-01 1.51646e+00 -1.04486e-01
3.61426e-01 1.66125e+00 6.45260e-02
3.61426e-01 1.80928e+00 2.43522e-01
3.61426e-01 1.95998e+00 4.23013e-01
3.61426e-01 2.11277e+00 5.87923e-01
3.61426e-01 2.26706e+00 7.19137e-01
3.61426e-01 2.42225e+00 7.98674e-01
3.61426e-01 2.57775e+00 8.17602e-01
3.61426e-01 2.73294e+00 7.80850e-01
3.61426e-01 2.88723e+00 7.02022e-01
3.61426e-01 3.04002e+00 5.93415e-01
3.61426e-01 3.19072e+00 4.66304e-01
3.61426e-01 3.33875e+00 3.37617e-01
3.61426e-01 3.48354e+00 2.25565e-01
3.61426e-01 3.62452e+00 1.40107e-01
3.61426e-01 3.76115e+00 8.15439e-02
3.61426e-01 3.89290e+00 4.47851e-02
3.61426e-01 4.01926e+00 2.33789e-02
3.61426e-01 4.13974e+00 1.16971e-02
3.61426e-01 4.25388e+00 5.66417e-03
3.61426e-01 4.36124e+00 2.68439e-03
3.61426e-01 4.46139e+00 1.26062e-03
3.61426e-01 4.55396e+00 5.94488e-04
3.61426e-01 4.63857e+00 2.85480e-04
3.61426e-01 4.71492e+00 1.41595e-04
3.61426e-01 4.78270e+00 7.35653e-05
3.61426e-01 4.84164e+00 4.05811e-05
3.61426e-01 4.89153e+00 2.40699e-05
3.61426e-01 4.93216e+00 1.55249e-05
3.61426e-01 4.96339e+00 1.09943e-05
3.61426e-01 4.98508e+00 8.61439e-06
3.61426e-01 4.99717e+00 7.50846e-06
4.46045e-01 2.83399e-03 -1.13826e+00
4.46045e-01 1.49201e-02 -1.13812e+00
4.46045e-01 3.66148e-02 -1.13736e+00
4.46045e-01 6.78390e-02 -1.13515e+00
4.46045e-01 1.08473e-01 -1.13032e+00
4.46045e-01 1.58358e-01 -1.12136e+00
4.46045e-01 2.17304e-01 -1.10654e+00
4.46045e-01 2.85080e-01 -1.08402e+00
4.46045e-01 3.61426e-01 -1.05200e+00
4.46045e-01 4.46045e-01 -1.00908e+00
4.46045e-01 5.38610e-01 -9.54497e-01
4.46045e-01 6.38764e-01 -8.88360e-01
4.46045e-01 7.46119e-01 -8.11376e-01
4.46045e-01 8.60259e-01 -7.24273e-01
4.46045e-01 9.80743e-01 -6.27130e-01
4.46045e-01 1.10710e+00 -5.19064e-01
4.46045e-01 1.23885e+00 -3.98394e-01
4.46045e-01 1.37548e+00 -2.63250e-01
4.46045e-01 1.51646e+00 -1.12510e-01
4.46045e-01 1.66125e+00 5.29583e-02
4.46045e-01 1.80928e+00 2.28819e-01
4.46045e-01 1.95998e+00 4.05816e-01
4.46045e-01 2.11277e+00 5.69102e-01
4.46045e-01 2.26706e+00 6.99737e-01
4.46045e-01 2.42225e+00 7.79801e-01
4.46045e-01 2.57775e+00 8.00280e-01
4.46045e-01 2.73294e+00 7.65866e-01
4.46045e-01 2.88723e+00 6.89825e-01
4.46045e-01 3.04002e+00 5.84089e-01
4.46045e-01 3.19072e+00 4.59619e-01
4.46045e-01 3.33875e+00 3.33129e-01
4.46045e-01 3.48354e+00 2.22742e-01
4.46045e-01 3.62452e+00 1.38441e-01
4.46045e-01 3.76115e+00 8.06173e-02
4.46045e-01 3.89290e+00 4.42971e-02
4.46045e-01 4.01926e+00 2.31340e-02
4.46045e-01 4.13974e+00 1.15790e-02
4.46045e-01 4.25388e+00 5.60884e-03
4.46045e-01 4.36124e+00 2.65896e-03
4.46045e-01 4.46139e+00 1.24901e-03
4.46045e-01 4.55396e+00 5.89151e-04
4.46045e-01 4.63857e+00 2.82975e-04
4.46045e-01 4.71492e+00 1.40378e-04
4.46045e-01 4.78270e+00 7.29436e-05
4.46045e-01 4.84164e+00 4.02432e-05
4.46045e-01 4.89153e+00 2.38720e-05
4.46045e-01 4.93216e+00 1.53985e-05
4.46045e-01 4.96339e+00 1.09055e-05
4.46045e-01 4.98508e+00 8.54519e-06
4.46045e-01 4.99717e+00 7.44832e-06
5.38610e-01 2.83399e-03 -1.05358e+00
5.38610e-01 1.49201e-02 -1.05347e+00
5.38610e-01 3.66148e-02 -1.05292e+00
5.38610e-01 6.78390e-02 -1.05131e+00
5.38610e-01 1.08473e-01 -1.04776e+00
5.38610e-01 1.58358e-01 -1.04117e+00
5.38610e-01 2.17304e-01 -1.03016e+00
5.38610e-01 2.85080e-01 -1.01317e+00
5.38610e-01 3.61426e-01 -9.88511e-01
